candidate_id,req_id,department,level,source,applied_date,final_stage,outcome,hired,days_in_process
CAN00001,REQ0001,Operations,Non-Executive,Headhunting Firm,2022-09-15,Written Test,Rejected - Written Test,0,14
CAN00002,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-10,Hired,Hired,1,59
CAN00003,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-11,CV Screening,Rejected - CV Screen,0,5
CAN00004,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-13,CV Screening,Rejected - CV Screen,0,10
CAN00005,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-07,CV Screening,Rejected - CV Screen,0,7
CAN00006,REQ0001,Operations,Non-Executive,Walk-in,2022-09-14,Interview,Rejected - Interview,0,21
CAN00007,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-05,Interview,Withdrew,0,17
CAN00008,REQ0001,Operations,Non-Executive,Walk-in,2022-09-08,CV Screening,Rejected - CV Screen,0,8
CAN00009,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-19,CV Screening,Rejected - CV Screen,0,3
CAN00010,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-14,CV Screening,Rejected - CV Screen,0,8
CAN00011,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-09,CV Screening,Rejected - CV Screen,0,7
CAN00012,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-01,CV Screening,Rejected - CV Screen,0,8
CAN00013,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-03,CV Screening,Rejected - CV Screen,0,7
CAN00014,REQ0001,Operations,Non-Executive,Internal Referral,2022-09-03,Written Test,Rejected - Written Test,0,9
CAN00015,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-05,CV Screening,Rejected - CV Screen,0,9
CAN00016,REQ0001,Operations,Non-Executive,Walk-in,2022-09-08,CV Screening,Rejected - CV Screen,0,4
CAN00017,REQ0001,Operations,Non-Executive,Internal Referral,2022-09-17,CV Screening,Rejected - CV Screen,0,3
CAN00018,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-14,CV Screening,Rejected - CV Screen,0,7
CAN00019,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-04,CV Screening,Rejected - CV Screen,0,10
CAN00020,REQ0001,Operations,Non-Executive,Internal Referral,2022-09-16,CV Screening,Rejected - CV Screen,0,4
CAN00021,REQ0001,Operations,Non-Executive,Walk-in,2022-09-20,Written Test,Rejected - Written Test,0,12
CAN00022,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-18,CV Screening,Rejected - CV Screen,0,9
CAN00023,REQ0001,Operations,Non-Executive,Internal Referral,2022-09-09,Written Test,Rejected - Written Test,0,19
CAN00024,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-19,CV Screening,Rejected - CV Screen,0,6
CAN00025,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-04,CV Screening,Rejected - CV Screen,0,10
CAN00026,REQ0001,Operations,Non-Executive,Headhunting Firm,2022-09-10,CV Screening,Rejected - CV Screen,0,8
CAN00027,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-08,CV Screening,Rejected - CV Screen,0,6
CAN00028,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-15,CV Screening,Rejected - CV Screen,0,5
CAN00029,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-05,CV Screening,Rejected - CV Screen,0,6
CAN00030,REQ0001,Operations,Non-Executive,Internal Referral,2022-09-16,CV Screening,Rejected - CV Screen,0,10
CAN00031,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-12,CV Screening,Rejected - CV Screen,0,5
CAN00032,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-04,CV Screening,Rejected - CV Screen,0,9
CAN00033,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-17,Written Test,Rejected - Written Test,0,13
CAN00034,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-19,CV Screening,Rejected - CV Screen,0,9
CAN00035,REQ0001,Operations,Non-Executive,Headhunting Firm,2022-09-12,CV Screening,Rejected - CV Screen,0,10
CAN00036,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-18,Interview,Withdrew,0,35
CAN00037,REQ0001,Operations,Non-Executive,Headhunting Firm,2022-09-05,CV Screening,Rejected - CV Screen,0,6
CAN00038,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-07,CV Screening,Rejected - CV Screen,0,10
CAN00039,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-14,CV Screening,Rejected - CV Screen,0,7
CAN00040,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-18,Reference Check,Rejected - Reference,0,38
CAN00041,REQ0001,Operations,Non-Executive,Internal Referral,2022-09-02,CV Screening,Rejected - CV Screen,0,4
CAN00042,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-16,Hired,Hired,1,78
CAN00043,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-04,Hired,Hired,1,71
CAN00044,REQ0001,Operations,Non-Executive,LinkedIn,2022-08-31,CV Screening,Rejected - CV Screen,0,10
CAN00045,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-06,CV Screening,Rejected - CV Screen,0,4
CAN00046,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-06,Written Test,Rejected - Written Test,0,19
CAN00047,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-07,CV Screening,Rejected - CV Screen,0,8
CAN00048,REQ0001,Operations,Non-Executive,Internal Referral,2022-09-18,Interview,Rejected - Interview,0,31
CAN00049,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-10,Reference Check,Rejected - Reference,0,41
CAN00050,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-05,Interview,Rejected - Interview,0,32
CAN00051,REQ0001,Operations,Non-Executive,Internal Referral,2022-09-14,CV Screening,Rejected - CV Screen,0,3
CAN00052,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-05,CV Screening,Rejected - CV Screen,0,7
CAN00053,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-06,CV Screening,Rejected - CV Screen,0,7
CAN00054,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-12,Interview,Rejected - Interview,0,18
CAN00055,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-15,CV Screening,Rejected - CV Screen,0,4
CAN00056,REQ0001,Operations,Non-Executive,Walk-in,2022-09-19,Hired,Hired,1,56
CAN00057,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-06,CV Screening,Rejected - CV Screen,0,9
CAN00058,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-15,CV Screening,Rejected - CV Screen,0,3
CAN00059,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-04,Offer & Approval,Offer Declined,0,41
CAN00060,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-05,CV Screening,Rejected - CV Screen,0,5
CAN00061,REQ0001,Operations,Non-Executive,LinkedIn,2022-09-12,CV Screening,Rejected - CV Screen,0,3
CAN00062,REQ0001,Operations,Non-Executive,Walk-in,2022-09-04,Interview,Rejected - Interview,0,24
