candidate_id,req_id,stage,entered_date,exited_date,outcome
CAN00001,REQ0001,Application Received,2022-09-15,2022-09-15,Passed
CAN00001,REQ0001,CV Screening,2022-09-15,2022-09-20,Passed
CAN00001,REQ0001,Written Test,2022-09-20,2022-09-29,Absent
CAN00002,REQ0001,Application Received,2022-09-10,2022-09-10,Passed
CAN00002,REQ0001,CV Screening,2022-09-10,2022-09-16,Passed
CAN00002,REQ0001,Written Test,2022-09-16,2022-09-25,Passed
CAN00002,REQ0001,Interview,2022-09-25,2022-10-03,Passed
CAN00002,REQ0001,Reference Check,2022-10-03,2022-10-08,Passed
CAN00002,REQ0001,Offer & Approval,2022-10-08,2022-10-22,Accepted
CAN00002,REQ0001,Onboarding,2022-10-22,2022-11-08,Completed
CAN00003,REQ0001,Application Received,2022-09-11,2022-09-11,Passed
CAN00003,REQ0001,CV Screening,2022-09-11,2022-09-16,Over-qualified
CAN00004,REQ0001,Application Received,2022-09-13,2022-09-13,Passed
CAN00004,REQ0001,CV Screening,2022-09-13,2022-09-23,Over-qualified
CAN00005,REQ0001,Application Received,2022-09-07,2022-09-07,Passed
CAN00005,REQ0001,CV Screening,2022-09-07,2022-09-14,Over-qualified
CAN00006,REQ0001,Application Received,2022-09-14,2022-09-14,Passed
CAN00006,REQ0001,CV Screening,2022-09-14,2022-09-20,Passed
CAN00006,REQ0001,Written Test,2022-09-20,2022-09-25,Passed
CAN00006,REQ0001,Interview,2022-09-25,2022-10-05,Poor communication
CAN00007,REQ0001,Application Received,2022-09-05,2022-09-05,Passed
CAN00007,REQ0001,CV Screening,2022-09-05,2022-09-08,Passed
CAN00007,REQ0001,Written Test,2022-09-08,2022-09-14,Passed
CAN00007,REQ0001,Interview,2022-09-14,2022-09-22,Withdrew - Joined Competitor
CAN00008,REQ0001,Application Received,2022-09-08,2022-09-08,Passed
CAN00008,REQ0001,CV Screening,2022-09-08,2022-09-16,Over-qualified
CAN00009,REQ0001,Application Received,2022-09-19,2022-09-19,Passed
CAN00009,REQ0001,CV Screening,2022-09-19,2022-09-22,Not matching JD
CAN00010,REQ0001,Application Received,2022-09-14,2022-09-14,Passed
CAN00010,REQ0001,CV Screening,2022-09-14,2022-09-22,Incomplete CV
CAN00011,REQ0001,Application Received,2022-09-09,2022-09-09,Passed
CAN00011,REQ0001,CV Screening,2022-09-09,2022-09-16,Over-qualified
CAN00012,REQ0001,Application Received,2022-09-01,2022-09-01,Passed
CAN00012,REQ0001,CV Screening,2022-09-01,2022-09-09,Over-qualified
CAN00013,REQ0001,Application Received,2022-09-03,2022-09-03,Passed
CAN00013,REQ0001,CV Screening,2022-09-03,2022-09-10,Not matching JD
CAN00014,REQ0001,Application Received,2022-09-03,2022-09-03,Passed
CAN00014,REQ0001,CV Screening,2022-09-03,2022-09-06,Passed
CAN00014,REQ0001,Written Test,2022-09-06,2022-09-12,Below cutoff score
CAN00015,REQ0001,Application Received,2022-09-05,2022-09-05,Passed
CAN00015,REQ0001,CV Screening,2022-09-05,2022-09-14,Duplicate application
CAN00016,REQ0001,Application Received,2022-09-08,2022-09-08,Passed
CAN00016,REQ0001,CV Screening,2022-09-08,2022-09-12,Over-qualified
CAN00017,REQ0001,Application Received,2022-09-17,2022-09-17,Passed
CAN00017,REQ0001,CV Screening,2022-09-17,2022-09-20,Not matching JD
CAN00018,REQ0001,Application Received,2022-09-14,2022-09-14,Passed
CAN00018,REQ0001,CV Screening,2022-09-14,2022-09-21,Incomplete CV
CAN00019,REQ0001,Application Received,2022-09-04,2022-09-04,Passed
CAN00019,REQ0001,CV Screening,2022-09-04,2022-09-14,Not matching JD
CAN00020,REQ0001,Application Received,2022-09-16,2022-09-16,Passed
CAN00020,REQ0001,CV Screening,2022-09-16,2022-09-20,Under-qualified
CAN00021,REQ0001,Application Received,2022-09-20,2022-09-20,Passed
CAN00021,REQ0001,CV Screening,2022-09-20,2022-09-24,Passed
CAN00021,REQ0001,Written Test,2022-09-24,2022-10-02,Absent
CAN00022,REQ0001,Application Received,2022-09-18,2022-09-18,Passed
CAN00022,REQ0001,CV Screening,2022-09-18,2022-09-27,Incomplete CV
CAN00023,REQ0001,Application Received,2022-09-09,2022-09-09,Passed
CAN00023,REQ0001,CV Screening,2022-09-09,2022-09-18,Passed
CAN00023,REQ0001,Written Test,2022-09-18,2022-09-28,Absent
CAN00024,REQ0001,Application Received,2022-09-19,2022-09-19,Passed
CAN00024,REQ0001,CV Screening,2022-09-19,2022-09-25,Incomplete CV
CAN00025,REQ0001,Application Received,2022-09-04,2022-09-04,Passed
CAN00025,REQ0001,CV Screening,2022-09-04,2022-09-14,Not matching JD
CAN00026,REQ0001,Application Received,2022-09-10,2022-09-10,Passed
CAN00026,REQ0001,CV Screening,2022-09-10,2022-09-18,Over-qualified
CAN00027,REQ0001,Application Received,2022-09-08,2022-09-08,Passed
CAN00027,REQ0001,CV Screening,2022-09-08,2022-09-14,Duplicate application
CAN00028,REQ0001,Application Received,2022-09-15,2022-09-15,Passed
CAN00028,REQ0001,CV Screening,2022-09-15,2022-09-20,Incomplete CV
CAN00029,REQ0001,Application Received,2022-09-05,2022-09-05,Passed
CAN00029,REQ0001,CV Screening,2022-09-05,2022-09-11,Incomplete CV
CAN00030,REQ0001,Application Received,2022-09-16,2022-09-16,Passed
CAN00030,REQ0001,CV Screening,2022-09-16,2022-09-26,Incomplete CV
CAN00031,REQ0001,Application Received,2022-09-12,2022-09-12,Passed
CAN00031,REQ0001,CV Screening,2022-09-12,2022-09-17,Incomplete CV
CAN00032,REQ0001,Application Received,2022-09-04,2022-09-04,Passed
CAN00032,REQ0001,CV Screening,2022-09-04,2022-09-13,Duplicate application
CAN00033,REQ0001,Application Received,2022-09-17,2022-09-17,Passed
CAN00033,REQ0001,CV Screening,2022-09-17,2022-09-25,Passed
CAN00033,REQ0001,Written Test,2022-09-25,2022-09-30,Below cutoff score
CAN00034,REQ0001,Application Received,2022-09-19,2022-09-19,Passed
CAN00034,REQ0001,CV Screening,2022-09-19,2022-09-28,Duplicate application
CAN00035,REQ0001,Application Received,2022-09-12,2022-09-12,Passed
CAN00035,REQ0001,CV Screening,2022-09-12,2022-09-22,Duplicate application
CAN00036,REQ0001,Application Received,2022-09-18,2022-09-18,Passed
CAN00036,REQ0001,CV Screening,2022-09-18,2022-09-26,Passed
CAN00036,REQ0001,Written Test,2022-09-26,2022-10-06,Passed
CAN00036,REQ0001,Interview,2022-10-06,2022-10-23,Withdrew - Joined Competitor
CAN00037,REQ0001,Application Received,2022-09-05,2022-09-05,Passed
CAN00037,REQ0001,CV Screening,2022-09-05,2022-09-11,Duplicate application
CAN00038,REQ0001,Application Received,2022-09-07,2022-09-07,Passed
CAN00038,REQ0001,CV Screening,2022-09-07,2022-09-17,Incomplete CV
CAN00039,REQ0001,Application Received,2022-09-14,2022-09-14,Passed
CAN00039,REQ0001,CV Screening,2022-09-14,2022-09-21,Under-qualified
CAN00040,REQ0001,Application Received,2022-09-18,2022-09-18,Passed
CAN00040,REQ0001,CV Screening,2022-09-18,2022-09-22,Passed
CAN00040,REQ0001,Written Test,2022-09-22,2022-09-29,Passed
CAN00040,REQ0001,Interview,2022-09-29,2022-10-17,Passed
CAN00040,REQ0001,Reference Check,2022-10-17,2022-10-26,Failed Reference
CAN00041,REQ0001,Application Received,2022-09-02,2022-09-02,Passed
CAN00041,REQ0001,CV Screening,2022-09-02,2022-09-06,Not matching JD
CAN00042,REQ0001,Application Received,2022-09-16,2022-09-16,Passed
CAN00042,REQ0001,CV Screening,2022-09-16,2022-09-20,Passed
CAN00042,REQ0001,Written Test,2022-09-20,2022-09-28,Passed
CAN00042,REQ0001,Interview,2022-09-28,2022-10-12,Passed
CAN00042,REQ0001,Reference Check,2022-10-12,2022-10-20,Passed
CAN00042,REQ0001,Offer & Approval,2022-10-20,2022-11-03,Accepted
